Kaka,Kakak
gaboleh,tidak boleh
capek2,capek-capek
aja,saja
kak,kakak
ngefans,penggemar
yg,yang
dr,dari
ortu,orang tua
pd,pada
jd,jadi
gausah,tidak usah
emang,memang
udah,sudah
fix,pasti
Semoha,Semoga
lancat,lancar
gk,gak
ngaca,bercermin
sebenrnya,sebenarnya
klo,kalau
bagusan,lebih bagus
drpd,daripada
ga,tidak
ni,ini
kayak,seperti
ka,kakak
org,orang
bnyak,banyak
kek,seperti
pd,pada
elu,kamu
akhak,akhlak
ultah,ulang tahun
skrg,sekarang
jg,juga
kagak,tidak
yg,yang
salfok,salah fokus
walo,walaupun
ga,tidak
trus,terus
tpi,tapi
msh,masih
mah,memang
gpp,tidak apa-apa
diu,dia
cmn,cuma
gak,tidak
udh,sudah
btw,by the way
gw,saya
lo,kamu
hbd,happy birthday
ama,sama
dgn,dengan
dr,dari
emg,memang
ttg,tentang
nih,ini
yuk,ayo
brarti,berarti
mgkn,mungkin
Kk,Kakak
Sdh,sudah
nggak,tidak
uda,sudah
lbh,lebih
dr pd,daripada
unfoll,unfollow
cm,cuma
mo,mau
krn,karena
sbg,sebagai
bgt,banget
smngat,semangat
pake,pakai
ttp,tetap
gua,saya
sm,sama
bnyk,banyak
aj,saja
bgst,bangsat
bgs,bagus
tdk,tidak
ntar,nanti
blg,bilang
knp,kenapa
kl,kalau
gk,tidak
sbr,sabar
mslh,masalah
ajg,anjing
mngt,semangat
bngt,banget
jwbn,jawaban
lgi,lagi
tp,tapi
lg,lagi
gt,begitu
kyk,kayak
krng,kurang
kls,kelas
gn,gini
kmrn,kemarin
bgn,bangun
bg,bang
jgn,jangan
bnget,banget
aq,aku
sgt,sangat
gmna,gimana
bkn,bukan
km,kamu
trs,terus
mcm,macam
ank,anak
otk,otak
q,aku
bwh,bawah
bgtt,banget
lu,kamu
ane,aku
mkn,makan
k,oke
msk,masuk
dpt,dapat
dmn,dimana
tmn,teman
sma,sama
muke,muka
kaga,tidak
cobak,coba
ye,ya
yh,ya
males,malas
tkut,takut
"gara""",karena
loo,kamu
dlm,dalam
sdg,sedang
jln,jalan
